fmeas	func	Ameas	Aunc
33.546	0.001	0.393	0.023
34.117	0.001	0.398	0.023
35.076	0.001	0.407	0.023
35.538	0.001	0.414	0.023
35.959	0.001	0.419	0.023
36.624	0.001	0.426	0.024
37.7	0.001	0.438	0.024
38.84	0.001	0.451	0.024
39.864	0.001	0.466	0.025
40.689	0.001	0.475	0.025
41.507	0.001	0.485	0.025
42.591	0.001	0.491	0.025
43.782	0.001	0.507	0.026
44.599	0.001	0.515	0.026
45.792	0.001	0.527	0.026
47.515	0.001	0.548	0.027
48.366	0.001	0.556	0.027
49.472	0.001	0.57	0.027
50.611	0.001	0.585	0.028
51.502	0.001	0.599	0.028
52.627	0.001	0.607	0.028
53.99	0.001	0.627	0.029
54.699	0.001	0.635	0.029
56.607	0.001	0.657	0.029
57.476	0.001	0.666	0.03
58.41	0.001	0.681	0.03
59.947	0.001	0.698	0.03
60.78	0.001	0.706	0.031
61.68	0.001	0.721	0.031
62.858	0.001	0.732	0.031
64.12	0.001	0.743	0.032
65.846	0.001	0.761	0.032
67.879	0.001	0.783	0.033
70.136	0.001	0.811	0.033
72.378	0.001	0.842	0.034
